(7759, 47.28267168494887)
(366, 32.622751649400016)
(378, 26.978130937338495)
(4130, 663.391877828307)
(7821, 16697.31587278493)
(1084, 14076.23953537812)
(203, 28.55097011901421)
(3400, 28.0)
(1375, 5.615825852000754)
(3753, 20.397798298801675)
(157, 7853.429293739347)
(997, 942.7352914045094)
(159, 18075.41891597929)
(1028, 598.1756421296418)
(10766, 18.403039830419324)
(289, 10633.360916490159)
(2531, 8453.981964272587)
(1414, 22.891703195436765)
(6724, 10.115825852000754)
(1107, 20.397798298801675)
(4566, 5.957407392288522)
(331, 6.425396041156862)
(1001, 9392.769604699997)
(18737, 20.820662813657016)
(683, 23.36600027197341)
(1390, 4.107919181288746)
(1400, 439.5675299337896)
(2614, 16.823820483841196)
(724, 8.5)
(7927, 718.0413788968315)
(8364, 14.457141092602939)
(511, 9353.548420483556)
(6064, 42.29090721814009)
(1534, 25.22808471211907)
(8023, 63.436360827210144)
(1892, 784.4081216115641)
(15564, 749.0343830404211)
(972, 507.5688634685846)
(344, 7.4833147735478835)
(12352, 29.90418727647797)
(173, 5389.035525138399)
(493, 16.483910283837815)
(5149, 6.815161668766822)
(959, 12071.376734726273)
(8479, 24.868334137581158)
(292, 8.046841283719166)
(1076, 422.97405289048714)
(9324, 23.311769484344772)
(464, 7.5)
(1006, 269.422487890036)
(432, 2.2926513036220753)
(1985, 11.987767802667673)
(484, 5.902103136050015)
(2343, 37.38023409559746)
(2567, 226.96918527418936)
(4317, 563.1223281399937)
(424, 3.676421008069047)
(207, 33.31222628310573)
(2627, 5.564556201017806)
(461, 1.6366341767699428)
(1019, 1402.1063938825364)
(498, 24.024616815644134)
(221, 5.228527517380012)
(4974, 598.1756421296418)
(6714, 9982.794111754469)
(6499, 6.931810730249348)
(350, 13.630323337533644)
(1834, 61.041666666666664)
(2480, 10.410331406828508)
(439, 15.141438435457074)
(4616, 17.037904171917052)
(81, 14092.96488665821)
(294, 5.902103136050015)
(468, 7.228570546301469)
(155, 7621.2471277611385)
(296, 8348.657936392465)
(4710, 10.222742503150233)
(888, 717.8107705555701)
(176, 5.840374778728012)
(298, 2.782278100508903)
(349, 2.041241452319315)
(546, 564.9212212177523)
(562, 18.884691656136948)
(536, 4.901894677425396)
(15637, 598.1756421296418)
(210, 22.407218996698713)
(3119, 478.54051370371343)
(789, 74.76046819119492)
(279, 10.775716747788586)
(2053, 28.0)
(14455, 20.188584580609433)
(5360, 59.80837455295594)
(14932, 7.794228634059949)
(985, 141.76421886357645)
(14523, 507.5688634685846)
(6346, 14.457141092602939)
(77, 74.76046819119492)
(913, 8.717984099162303)
(73, 5.615825852000754)
(533, 4429.869674647528)
(1021, 21.145453609070046)
(5767, 4.919349550499537)
(429, 17.866868779951343)
(65, 45.80717273162529)
(3097, 8.760562168092017)
(966, 9.320806954704242)
(1613, 4.3102866991154345)
(994, 194.91890078225492)
(3026, 20.188584580609433)
(735, 2.8873064370687187)
(4720, 483.4996152087163)
(722, 94.5094792423843)
(59, 19575.2575282228)
(316, 5.786375623578447)
(2535, 20.31437137128605)
(1072, 694.6253534047308)
(229, 12728.483855194527)
(329, 5.902103136050015)
(1502, 3.061862178478973)
(857, 52.782242698001845)
(262, 5.564556201017806)
(708, 5.615825852000754)
(15544, 10778.0710502768)
(877, 27592.49088451724)
(1398, 66.19574035892843)
(2983, 20.397798298801675)
(300, 6.244291450003011)
(450, 642.2357335483991)
(939, 5.511351921262151)
(2428, 15.141438435457074)
(4118, 15.141438435457076)
(4432, 30.583832803748958)
(8595, 8.660254037844387)
(98, 47.28267168494887)
(10609, 7.794228634059949)
(1154, 23.09965296525933)
(154, 62.21518415452999)
(3768, 813.8368389718796)
(1013, 20653.52322373145)
(6567, 13.630323337533644)
(222, 2.350048355401921)
(3707, 15.141438435457074)
(88, 549.0459010409155)
(5254, 10778.0710502768)
(13268, 15.026019100214135)
(1384, 19.62879195682227)
(3863, 36.625)
(627, 14001.125)
(1799, 20.188584580609433)
(1073, 8569.053346479523)
(86, 8.346834301526709)
(863, 16.823820483841196)
(5123, 58.92177603193365)
(8832, 7.794228634059949)
(418, 16.210526315789473)
(2552, 26400.774484641337)
(2633, 18668.166666666664)
(226, 12.389305832128375)
(32, 7.807748555121381)
(1243, 23.976690689679664)
(1067, 875.8522930574522)
(5920, 36.625)
(1079, 10325.55713593461)
(5429, 17.84435632438388)
(4609, 422.97405289048714)
(998, 1208.6603835935393)
(8418, 20.188584580609433)
(6389, 5.564556201017806)
(10433, 541.9768745309236)
(599, 32.42105263157895)
(715, 11705.346617367333)
(601, 12445.444444444443)
(704, 18.544399069317542)
(2346, 4.5853026072441505)
(182, 4.763455903084756)
(2783, 439.0339735824326)
(332, 7.869470848066688)
(854, 5.403830945624492)
(1089, 8.346834301526709)
(6762, 4.863447851062043)
(1812, 6.877953910866225)
(314, 5.564556201017806)
(472, 8.47663190455607)
(9980, 591.2217119393528)
(1902, 36.625)
(6376, 10.775716747788586)
(529, 31.718180413605072)
